server,server_name_slug,network_name,country_code,as
calcium.libera.chat,Libera_Chat-calcium_libera_chat-CA-AS6453,Libera.Chat,CA,AS6453 TATA COMMUNICATIONS (AMERICA) INC
erbium.libera.chat,Libera_Chat-erbium_libera_chat-DE-AS29686,Libera.Chat,DE,AS29686 Jonas Frey trading as Probe Networks
zinc.libera.chat,Libera_Chat-zinc_libera_chat-FI-AS1741,Libera.Chat,FI,AS1741 CSC - Tieteen tietotekniikan keskus Oy
iridium.libera.chat,Libera_Chat-iridium_libera_chat-SE-AS1653,Libera.Chat,SE,AS1653 Vetenskapsradet / SUNET
platinum.libera.chat,Libera_Chat-platinum_libera_chat-SE-AS1653,Libera.Chat,SE,AS1653 Vetenskapsradet / SUNET
molybdenum.libera.chat,Libera_Chat-molybdenum_libera_chat-CA-AS16276,Libera.Chat,CA,AS16276 OVH SAS
#tantalum.libera.chat,Libera_Chat-tantalum_libera_chat-NL-AS60503,Libera.Chat,NL,AS60503 FNX Tecnologia LTDA
lead.libera.chat,Libera_Chat-lead_libera_chat-HU-AS41075,Libera.Chat,HU,AS41075 ATW Internet Kft.
tungsten.libera.chat,Libera_Chat-tungsten_libera_chat-SE-AS2833,Libera.Chat,SE,AS2833 Umea University
zirconium.libera.chat,Libera_Chat-zirconium_libera_chat-IT-AS12637,Libera.Chat,IT,AS12637 SEEWEB s.r.l.
osmium.libera.chat,Libera_Chat-osmium_libera_chat-SE-AS1653,Libera.Chat,SE,AS1653 Vetenskapsradet / SUNET
silver.libera.chat,Libera_Chat-silver_libera_chat-US-AS40676,Libera.Chat,US,AS40676 Psychz Networks
mercury.libera.chat,Libera_Chat-mercury_libera_chat-GB-AS16276,Libera.Chat,GB,AS16276 OVH SAS
copper.libera.chat,Libera_Chat-copper_libera_chat-BG-AS31083,Libera.Chat,BG,AS31083 Telepoint Ltd
lithium.libera.chat,Libera_Chat-lithium_libera_chat-GB-AS63949,Libera.Chat,GB,AS63949 Akamai Connected Cloud
cadmium.libera.chat,Libera_Chat-cadmium_libera_chat-US-AS40138,Libera.Chat,US,AS40138 Mach Dilemma, LLC
sodium.libera.chat,Libera_Chat-sodium_libera_chat-US-AS18530,Libera.Chat,US,AS18530 Isomedia, Inc.
#uni-erlangen.de,IRCnet-uni-erlangen_de-DE-AS680,IRCnet,DE,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
irc.atw-inter.net,IRCnet-irc_atw-inter_net-HU-AS41075,IRCnet,HU,AS41075 ATW Internet Kft.
irc.us.ircnet.net,IRCnet-irc_us_ircnet_net-US-AS46844,IRCnet,US,AS46844 Sharktech
fu-berlin.de,IRCnet-fu-berlin_de-DE-AS680,IRCnet,DE,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
losangeles.ca.us.undernet.org,Undernet-losangeles_ca_us_undernet_org-US-AS46573,Undernet,US,AS46573 LayerHost
#miami.fl.us.undernet.org,Undernet-miami_fl_us_undernet_org-US-AS262287,Undernet,US,AS262287 Latitude.sh LTDA
pipera.ro.eu.undernet.org,Undernet-pipera_ro_eu_undernet_org-RO-AS60117,Undernet,RO,AS60117 Host Sailor Ltd
dallas.tx.us.undernet.org,Undernet-dallas_tx_us_undernet_org-US-AS40676,Undernet,US,AS40676 Psychz Networks
#chicago.il.us.undernet.org,Undernet-chicago_il_us_undernet_org-US-AS14987,Undernet,US,AS14987 Rethem Hosting LLC
#seattle.wa.us.undernet.org,Undernet-seattle_wa_us_undernet_org-US-AS201106,Undernet,US,AS201106 Spartan Host Ltd
#capelle.nl.eu.undernet.org,Undernet-capelle_nl_eu_undernet_org-NL-AS60117,Undernet,NL,AS60117 Host Sailor Ltd
#budapest.hu.eu.undernet.org,Undernet-budapest_hu_eu_undernet_org-HU-AS41075,Undernet,HU,AS41075 ATW Internet Kft.
irc.homelien.no,EFnet-irc_homelien_no-NO-AS2116,EFnet,NO,AS2116 GLOBALCONNECT AS
#irc.choopa.net,EFnet-irc_choopa_net-US-AS20473,EFnet,US,AS20473 The Constant Company, LLC
efnet.deic.eu,EFnet-efnet_deic_eu-DK-AS1835,EFnet,DK,AS1835 Forskningsnettet - Danish network for Research and Education
#irc.prison.net,EFnet-irc_prison_net-US-AS11404,EFnet,US,AS11404 Wave Broadband
#irc.underworld.no,EFnet-irc_underworld_no-NO-AS224,EFnet,NO,AS224 SIKT - KUNNSKAPSSEKTORENS TJENESTELEVERANDOR
#efnet.port80.se,EFnet-efnet_port80_se-SE-AS39369,EFnet,SE,AS39369 Availo Networks AB
